val_loss,epoch,step,train_loss
0.702376127243042,0,12,
0.6998609900474548,1,25,
0.6974778175354004,2,38,
,3,49,0.7213740944862366
0.6950574517250061,3,51,
0.6926558017730713,4,64,
0.6902027726173401,5,77,
0.6875997185707092,6,90,
,7,99,0.6953429579734802
0.684903621673584,7,103,
0.6821240782737732,8,116,
0.6795408725738525,9,129,
0.6769526600837708,10,142,
,11,149,0.6839652061462402
0.6745529770851135,11,155,
0.6721605062484741,12,168,
0.6697428226470947,13,181,
0.6673903465270996,14,194,
,15,199,0.6537255048751831
0.665225625038147,15,207,
0.6630100011825562,16,220,
0.6607669591903687,17,233,
0.6582995057106018,18,246,
,19,249,0.6552066802978516
0.6557334661483765,19,259,
0.6529830694198608,20,272,
0.649991512298584,21,285,
0.6469260454177856,22,298,
,23,299,0.6374592185020447
0.6435171365737915,23,311,
0.6400530338287354,24,324,
0.6364776492118835,25,337,
,26,349,0.616502046585083
0.6327062249183655,26,350,
0.6290431618690491,27,363,
0.6252936720848083,28,376,
0.6216408014297485,29,389,
,30,399,0.6085778474807739
0.6178858280181885,30,402,
0.614281415939331,31,415,
0.6103926301002502,32,428,
0.606774091720581,33,441,
,34,449,0.6015386581420898
0.60291987657547,34,454,
0.5992523431777954,35,467,
0.5955089330673218,36,480,
0.5917534828186035,37,493,
,38,499,0.6085795164108276
0.5878310799598694,38,506,
0.583894670009613,39,519,
0.5798293948173523,40,532,
0.5760893821716309,41,545,
,42,549,0.5543026924133301
0.5721885561943054,42,558,
0.5683327317237854,43,571,
0.5643072724342346,44,584,
0.5602903962135315,45,597,
,46,599,0.5660191178321838
0.5561783313751221,46,610,
0.5519411563873291,47,623,
0.5477864742279053,48,636,
,49,649,0.5555558800697327
0.5434668660163879,49,649,
